Sleep Stage,MeanP_Alpha_F4,MeanP_Beta_F4,MeanP_Theta_F4,MeanP_Delta_F4,MeanP_Gamma_F4,MeanP_Alpha_C4,MeanP_Beta_C4,MeanP_Theta_C4,MeanP_Delta_C4,MeanP_Gamma_C4,MeanP_Alpha_O2,MeanP_Beta_O2,MeanP_Theta_O2,MeanP_Delta_O2,MeanP_Gamma_O2,Total_P_F4,Total_P_C4,Total_P_O2,Relative_MeanP_Alpha_F4,Relative_MeanP_Beta_F4,Relative_MeanP_Theta_F4,Relative_MeanP_Delta_F4,Relative_MeanP_Gamma_F4,Relative_MeanP_Alpha_C4,Relative_MeanP_Beta_C4,Relative_MeanP_Theta_C4,Relative_MeanP_Delta_C4,Relative_MeanP_Gamma_C4,Relative_MeanP_Alpha_O2,Relative_MeanP_Beta_O2,Relative_MeanP_Theta_O2,Relative_MeanP_Delta_O2,Relative_MeanP_Gamma_O2,Relative_MeanP_Alpha_G,Relative_MeanP_Beta_G,Relative_MeanP_Theta_G,Relative_MeanP_Delta_G,Relative_MeanP_Gamma_G,DAR_F4,DAR_C4,DAR_O2,DAR_G,DTR_F4,DTR_O2,DTABR_F4,DTABR_C4,DTABR_O2,DTABR_G,P_G
N1,0.00074,0.00059,0.00143,0.0269,0.00011,0.00059,0.00048,0.00115,0.0192,9.02e-05,0.00035,0.00033,0.0006,0.0231,7.83e-05,0.0298,0.0216,0.0245,0.0248,0.0198,0.048,0.904,0.00369,0.0274,0.0223,0.0534,0.893,0.00419,0.0143,0.0135,0.0245,0.945,0.0032,0.0665,0.0555,0.126,2.74,0.0111,36.4,32.6,66.1,45.0,18.8,38.6,21.3,19.1,34.9,25.1,0.0253
N2,0.00061,0.00042,0.00125,0.00533,5.05e-05,0.00062,0.0004,0.00157,0.00671,4.74e-05,0.00029,0.00023,0.00054,0.00214,4.31e-05,0.00766,0.00935,0.00324,0.0796,0.0548,0.163,0.696,0.00659,0.0663,0.0428,0.168,0.718,0.00507,0.0894,0.0709,0.167,0.66,0.0133,0.235,0.169,0.498,2.07,0.025,8.74,10.8,7.38,8.98,4.26,3.96,6.39,8.12,5.15,6.55,0.00675
N2,0.00097,0.00059,0.00176,0.0111,5.74e-05,0.00082,0.00053,0.00168,0.00871,5.66e-05,0.00034,0.00026,0.00066,0.00277,4.61e-05,0.0145,0.0118,0.00408,0.067,0.0407,0.121,0.767,0.00396,0.0695,0.0449,0.142,0.738,0.0048,0.0834,0.0638,0.162,0.68,0.0113,0.22,0.149,0.426,2.18,0.0201,11.5,10.6,8.15,10.1,6.31,4.2,8.25,7.7,5.72,7.22,0.0101
N2,0.00086,0.00062,0.00162,0.0115,8.64e-05,0.00068,0.00051,0.00131,0.00861,6.73e-05,0.00031,0.00026,0.00059,0.00567,5.05e-05,0.0146,0.0112,0.00688,0.0587,0.0423,0.111,0.782,0.0059,0.0608,0.0456,0.117,0.77,0.00602,0.0451,0.0378,0.0857,0.824,0.00734,0.165,0.126,0.314,2.38,0.0193,13.3,12.7,18.3,14.8,7.07,9.61,8.84,8.34,11.0,9.39,0.0109
N1,0.0007,0.00053,0.00171,0.206,7.3e-05,0.0006,0.00046,0.00159,0.205,5.72e-05,0.00039,0.0003,0.0011,0.211,5.06e-05,0.209,0.208,0.213,0.00335,0.00253,0.00818,0.986,0.000349,0.00289,0.00222,0.00766,0.987,0.000276,0.00183,0.00141,0.00518,0.991,0.000238,0.00807,0.00616,0.021,2.96,0.000863,294.0,341.0,540.0,392.0,121.0,192.0,169.0,195.0,307.0,224.0,0.21
N2,0.00086,0.00058,0.0015,0.0092,6.53e-05,0.00065,0.00049,0.00122,0.00589,5.63e-05,0.00034,0.00027,0.00058,0.00364,4.45e-05,0.0122,0.00831,0.00487,0.0705,0.0475,0.123,0.754,0.00535,0.0783,0.059,0.147,0.709,0.00678,0.0698,0.0554,0.119,0.747,0.00913,0.218,0.162,0.389,2.21,0.0213,10.7,9.06,10.7,10.2,6.13,6.28,7.43,6.24,6.92,6.86,0.00846
N2,0.00058,0.00038,0.00114,0.00762,4.35e-05,0.00047,0.00032,0.00105,0.00505,3.92e-05,0.00029,0.00021,0.00052,0.00179,3.4e-05,0.00976,0.00693,0.00284,0.0594,0.0389,0.117,0.78,0.00446,0.0678,0.0462,0.152,0.729,0.00566,0.102,0.0738,0.183,0.629,0.012,0.229,0.159,0.451,2.14,0.0221,13.1,10.7,6.17,10.0,6.68,3.44,9.13,7.72,4.62,7.16,0.00651
N2,0.0009,0.00055,0.0022,0.0142,4.71e-05,0.00083,0.00052,0.00212,0.01,4.74e-05,0.00035,0.00027,0.00062,0.00328,3.74e-05,0.0178,0.0135,0.00456,0.0504,0.0308,0.123,0.793,0.00264,0.0614,0.0385,0.157,0.74,0.00351,0.0768,0.0592,0.136,0.72,0.00821,0.189,0.129,0.416,2.25,0.0144,15.7,12.0,9.37,12.4,6.43,5.29,11.3,8.98,6.29,8.85,0.012
N2,0.00058,0.00038,0.00134,0.00579,3.85e-05,0.00049,0.00035,0.00123,0.00537,3.82e-05,0.00025,0.00021,0.00048,0.00221,3.3e-05,0.00813,0.00748,0.00318,0.0714,0.0467,0.165,0.712,0.00474,0.0655,0.0468,0.164,0.718,0.00511,0.0785,0.066,0.151,0.694,0.0104,0.215,0.16,0.48,2.12,0.0202,9.98,11.0,8.84,9.93,4.32,4.6,7.43,7.86,5.85,7.04,0.00626
N2,0.00059,0.00038,0.00127,0.00538,3.87e-05,0.00056,0.00034,0.00146,0.00503,3.43e-05,0.00026,0.0002,0.0005,0.00184,3.25e-05,0.00766,0.00742,0.00283,0.077,0.0496,0.166,0.702,0.00505,0.0754,0.0458,0.197,0.678,0.00462,0.0918,0.0706,0.177,0.65,0.0115,0.244,0.166,0.539,2.03,0.0211,9.12,8.98,7.08,8.39,4.24,3.68,6.86,7.21,5.09,6.38,0.00597
N2,0.00064,0.00041,0.00126,0.00958,3.63e-05,0.00056,0.00038,0.0012,0.00682,3.56e-05,0.00026,0.0002,0.00053,0.00275,3.04e-05,0.0119,0.009,0.00377,0.0537,0.0344,0.106,0.803,0.00304,0.0623,0.0422,0.133,0.758,0.00396,0.069,0.053,0.141,0.729,0.00806,0.185,0.13,0.38,2.29,0.0151,15.0,12.2,10.6,12.6,7.6,5.19,10.3,8.53,7.13,8.66,0.00823
N2,0.00062,0.0004,0.00132,0.00886,4.15e-05,0.00052,0.00033,0.00119,0.00646,3.71e-05,0.00025,0.00021,0.00048,0.00279,3.56e-05,0.0112,0.00854,0.00377,0.0552,0.0356,0.117,0.788,0.00369,0.0609,0.0387,0.139,0.757,0.00435,0.0664,0.0558,0.127,0.741,0.00945,0.182,0.13,0.384,2.29,0.0175,14.3,12.4,11.2,12.6,6.71,5.81,9.98,9.0,7.11,8.7,0.00785
N2,0.00084,0.00051,0.00196,0.0124,5e-05,0.00078,0.00045,0.00201,0.0118,4.64e-05,0.00034,0.00024,0.00079,0.00388,4.12e-05,0.0158,0.0151,0.00529,0.0532,0.0323,0.124,0.787,0.00316,0.0517,0.0298,0.133,0.782,0.00308,0.0643,0.0454,0.149,0.733,0.00779,0.169,0.107,0.407,2.3,0.014,14.8,15.1,11.4,13.8,6.35,4.91,10.7,11.2,8.05,9.98,0.0121
N2,0.00083,0.0005,0.00206,0.0207,4.77e-05,0.00078,0.0005,0.00204,0.016,4.79e-05,0.00035,0.00025,0.00077,0.00523,4.22e-05,0.0242,0.0193,0.00664,0.0343,0.0207,0.0852,0.858,0.00197,0.0403,0.0259,0.105,0.826,0.00248,0.0527,0.0376,0.116,0.787,0.00635,0.127,0.0842,0.307,2.47,0.0108,25.0,20.5,14.9,20.1,10.1,6.79,17.1,14.1,10.0,13.7,0.0167
N2,0.00068,0.00042,0.00131,0.00645,4.03e-05,0.00061,0.00037,0.00136,0.0055,3.64e-05,0.0003,0.00023,0.00056,0.00169,3.72e-05,0.0089,0.00788,0.00282,0.0764,0.0472,0.147,0.725,0.00453,0.0774,0.047,0.173,0.698,0.00462,0.106,0.0816,0.199,0.6,0.0132,0.26,0.176,0.519,2.02,0.0224,9.49,9.02,5.63,8.05,4.92,3.02,7.05,7.0,4.25,6.1,0.00653
N2,0.00054,0.00036,0.00112,0.00501,4.15e-05,0.00047,0.00033,0.00111,0.00484,3.85e-05,0.00025,0.00021,0.00043,0.00229,3.87e-05,0.00707,0.00679,0.00322,0.0764,0.0509,0.158,0.708,0.00587,0.0692,0.0486,0.164,0.713,0.00567,0.0777,0.0652,0.134,0.711,0.012,0.223,0.165,0.455,2.13,0.0236,9.28,10.3,9.16,9.58,4.47,5.33,6.81,7.44,5.91,6.72,0.00569
N2,0.00065,0.00042,0.00149,0.00649,4.89e-05,0.00056,0.00036,0.00143,0.00603,4.66e-05,0.0003,0.00023,0.00065,0.00278,4.72e-05,0.0091,0.00843,0.00401,0.0714,0.0462,0.164,0.713,0.00537,0.0665,0.0427,0.17,0.716,0.00553,0.0749,0.0574,0.162,0.694,0.0118,0.213,0.146,0.496,2.12,0.0227,9.98,10.8,9.27,10.0,4.36,4.28,7.46,8.11,6.47,7.35,0.00718
N2,0.0007,0.00046,0.00138,0.00714,5.57e-05,0.00054,0.00036,0.00124,0.00627,5.03e-05,0.00026,0.00022,0.00055,0.00254,5.08e-05,0.00974,0.00846,0.00362,0.0719,0.0472,0.142,0.733,0.00572,0.0638,0.0426,0.147,0.741,0.00595,0.0718,0.0608,0.152,0.702,0.014,0.208,0.151,0.44,2.18,0.0257,10.2,11.6,9.77,10.5,5.17,4.62,7.34,8.34,6.44,7.38,0.00727
N2,0.00092,0.00056,0.00229,0.0172,5.63e-05,0.00072,0.00045,0.00203,0.012,5.09e-05,0.00029,0.00025,0.00059,0.00363,4.41e-05,0.021,0.0152,0.0048,0.0437,0.0266,0.109,0.818,0.00268,0.0473,0.0295,0.133,0.787,0.00334,0.0604,0.052,0.123,0.756,0.00918,0.151,0.108,0.365,2.36,0.0152,18.7,16.6,12.5,16.0,7.52,6.15,13.2,12.0,7.81,11.0,0.0137
N2,0.00063,0.00041,0.00137,0.00514,5.48e-05,0.00058,0.00036,0.00161,0.00596,5.1e-05,0.00027,0.00024,0.0005,0.00196,4.9e-05,0.0076,0.00856,0.00302,0.0828,0.0539,0.18,0.676,0.00721,0.0677,0.0421,0.188,0.696,0.00596,0.0894,0.0795,0.166,0.649,0.0162,0.24,0.175,0.534,2.02,0.0294,8.16,10.3,7.26,8.56,3.75,3.92,6.26,8.05,4.82,6.38,0.00639
N2,0.00076,0.00049,0.00167,0.00783,5.89e-05,0.00064,0.00044,0.00154,0.00711,5.64e-05,0.0003,0.00024,0.00056,0.00193,4.88e-05,0.0108,0.00979,0.00308,0.0703,0.0453,0.155,0.724,0.00545,0.0654,0.045,0.157,0.727,0.00576,0.0974,0.078,0.182,0.627,0.0159,0.233,0.168,0.494,2.08,0.0271,10.3,11.1,6.43,9.28,4.69,3.45,7.6,8.01,4.61,6.74,0.00789
N2,0.001,0.00079,0.00225,0.0888,0.00017,0.00083,0.00062,0.00213,0.0787,0.00012,0.0004,0.00036,0.00088,0.0818,9.74e-05,0.0931,0.0824,0.0835,0.0107,0.00849,0.0242,0.955,0.00183,0.0101,0.00752,0.0258,0.955,0.00146,0.00479,0.00431,0.0105,0.979,0.00117,0.0256,0.0203,0.0606,2.89,0.00445,88.8,94.9,204.0,129.0,39.5,92.9,50.9,55.8,109.0,71.8,0.0863
N1,0.00136,0.00184,0.00251,0.0965,0.00061,0.00103,0.00135,0.00188,0.0929,0.00041,0.00067,0.00109,0.00117,0.102,0.00037,0.103,0.0976,0.105,0.0132,0.0179,0.0244,0.939,0.00593,0.0106,0.0138,0.0193,0.952,0.0042,0.00638,0.0104,0.0111,0.969,0.00352,0.0302,0.0421,0.0548,2.86,0.0137,70.9,90.2,152.0,104.0,38.4,86.9,30.9,39.8,58.4,43.1,0.102
N2,0.00084,0.00064,0.00163,0.00936,0.00013,0.00067,0.00059,0.00134,0.00668,0.00013,0.00032,0.0004,0.00057,0.00296,0.00013,0.0126,0.00941,0.00438,0.0667,0.0508,0.129,0.743,0.0103,0.0712,0.0627,0.142,0.71,0.0138,0.0731,0.0913,0.13,0.676,0.0297,0.211,0.205,0.402,2.13,0.0538,11.1,9.97,9.25,10.1,5.74,5.19,7.43,6.37,4.9,6.23,0.0088
N2,0.0006,0.00051,0.00124,0.00505,0.00011,0.00048,0.00044,0.00109,0.00402,0.0001,0.00027,0.00032,0.00047,0.00157,9.29e-05,0.00751,0.00613,0.00272,0.0799,0.0679,0.165,0.672,0.0146,0.0783,0.0718,0.178,0.656,0.0163,0.0992,0.118,0.173,0.577,0.0341,0.257,0.257,0.516,1.9,0.0651,8.42,8.38,5.81,7.54,4.07,3.34,5.67,5.55,3.46,4.89,0.00545
N2,0.00082,0.00067,0.00185,0.0232,0.00014,0.0007,0.00062,0.00171,0.0174,0.00014,0.00031,0.00045,0.00058,0.00754,0.00015,0.0267,0.0206,0.00903,0.0307,0.0251,0.0693,0.87,0.00525,0.0341,0.0302,0.0832,0.846,0.00681,0.0343,0.0498,0.0642,0.835,0.0166,0.0991,0.105,0.217,2.55,0.0287,28.3,24.8,24.3,25.8,12.5,13.0,16.8,14.5,10.7,14.0,0.0188
N2,0.00077,0.00058,0.00153,0.0087,9.99e-05,0.00067,0.00054,0.00153,0.00826,9.97e-05,0.00029,0.00033,0.00052,0.00251,8.55e-05,0.0117,0.0111,0.00374,0.0659,0.0497,0.131,0.745,0.00855,0.0604,0.0486,0.138,0.744,0.00898,0.0776,0.0883,0.139,0.672,0.0229,0.204,0.187,0.408,2.16,0.0404,11.3,12.3,8.66,10.8,5.69,4.83,7.58,8.09,4.89,6.85,0.00884
N2,0.00071,0.00054,0.00145,0.00953,0.0001,0.00068,0.0005,0.0018,0.00762,0.0001,0.00031,0.00032,0.00063,0.00229,9.32e-05,0.0123,0.0107,0.00364,0.0576,0.0438,0.118,0.773,0.00811,0.0636,0.0467,0.168,0.712,0.00935,0.0851,0.0878,0.173,0.629,0.0256,0.206,0.178,0.459,2.11,0.043,13.4,11.2,7.39,10.7,6.57,3.63,8.78,7.98,4.63,7.13,0.00889
N2,0.00065,0.00053,0.0013,0.00659,0.00011,0.00055,0.00048,0.0013,0.00633,0.00011,0.00025,0.00032,0.00046,0.0026,9.64e-05,0.00918,0.00877,0.00373,0.0708,0.0577,0.142,0.718,0.012,0.0627,0.0547,0.148,0.722,0.0125,0.0671,0.0859,0.123,0.698,0.0259,0.201,0.198,0.413,2.14,0.0504,10.1,11.5,10.4,10.7,5.07,5.65,6.69,7.41,5.37,6.49,0.00723
N2,0.00079,0.00058,0.00177,0.0109,9.87e-05,0.0007,0.00053,0.00167,0.0136,9.8e-05,0.00024,0.0003,0.00048,0.00513,8.56e-05,0.0142,0.0166,0.00624,0.0557,0.0409,0.125,0.772,0.00696,0.0422,0.032,0.101,0.819,0.00591,0.0385,0.0481,0.077,0.823,0.0137,0.136,0.121,0.302,2.41,0.0266,13.8,19.4,21.4,18.2,6.18,10.7,9.28,12.4,10.4,10.7,0.0123
N2,0.00092,0.00062,0.00216,0.0199,0.0001,0.00075,0.00055,0.00186,0.0134,9.96e-05,0.00034,0.00035,0.00065,0.00355,8.97e-05,0.0237,0.0167,0.00498,0.0389,0.0262,0.0913,0.839,0.00422,0.0449,0.0329,0.111,0.805,0.00596,0.0683,0.0703,0.131,0.713,0.018,0.152,0.129,0.333,2.36,0.0282,21.6,17.9,10.4,16.7,9.2,5.46,14.3,11.8,6.09,10.7,0.0151
N2,0.00073,0.0005,0.00158,0.0097,7.27e-05,0.00061,0.00043,0.00151,0.00818,7.05e-05,0.00028,0.00026,0.00054,0.00408,6.29e-05,0.0126,0.0108,0.00522,0.058,0.0397,0.126,0.771,0.00578,0.0565,0.0398,0.14,0.757,0.00653,0.0536,0.0498,0.103,0.781,0.012,0.168,0.129,0.369,2.31,0.0243,13.3,13.4,14.6,13.8,6.14,7.56,9.17,9.32,8.56,9.01,0.00954
N2,0.00097,0.00069,0.00203,0.02,0.0001,0.00081,0.00063,0.0019,0.0154,9.94e-05,0.00036,0.00034,0.00068,0.00509,7.91e-05,0.0238,0.0188,0.00655,0.0407,0.029,0.0852,0.841,0.0042,0.0431,0.0335,0.101,0.817,0.00528,0.055,0.0519,0.104,0.777,0.0121,0.139,0.114,0.29,2.44,0.0216,20.6,19.0,14.1,17.9,9.87,7.49,13.3,12.0,8.24,11.2,0.0164
N1,0.00097,0.00098,0.00182,0.0186,0.00022,0.00071,0.00067,0.0014,0.0145,0.00013,0.00043,0.0004,0.00077,0.0137,8.9e-05,0.0226,0.0174,0.0154,0.0429,0.0433,0.0805,0.824,0.00973,0.0408,0.0385,0.0805,0.833,0.00747,0.0279,0.026,0.05,0.89,0.00578,0.112,0.108,0.211,2.55,0.023,19.2,20.4,31.9,23.8,10.2,17.8,10.5,11.5,17.5,13.2,0.0185
N2,0.00065,0.0005,0.00115,0.00445,7.08e-05,0.00059,0.00044,0.0013,0.00454,6.75e-05,0.00028,0.00027,0.00049,0.00177,6.19e-05,0.00682,0.00694,0.00287,0.0953,0.0733,0.169,0.652,0.0104,0.085,0.0634,0.187,0.654,0.00973,0.0975,0.094,0.171,0.616,0.0216,0.278,0.231,0.527,1.92,0.0417,6.85,7.69,6.32,6.95,3.87,3.61,4.87,5.67,4.11,4.88,0.00554
N2,0.00119,0.00099,0.00229,0.039,0.0002,0.00089,0.00075,0.00182,0.039,0.00014,0.00043,0.00039,0.00091,0.0426,9.72e-05,0.0437,0.0426,0.0444,0.0272,0.0226,0.0524,0.893,0.00458,0.0209,0.0176,0.0428,0.915,0.00329,0.00969,0.00879,0.0205,0.959,0.00219,0.0578,0.0491,0.116,2.77,0.0101,32.8,43.8,99.0,58.5,17.0,46.8,19.0,24.9,53.0,32.3,0.0436
N2,0.00074,0.00056,0.00156,0.00933,8.79e-05,0.00064,0.00051,0.0013,0.00582,8.64e-05,0.00034,0.00032,0.0007,0.00296,7.98e-05,0.0123,0.00836,0.0044,0.0603,0.0456,0.127,0.76,0.00716,0.0766,0.061,0.156,0.696,0.0103,0.0773,0.0727,0.159,0.673,0.0181,0.214,0.179,0.442,2.13,0.0356,12.6,9.09,8.71,10.1,5.98,4.23,8.38,6.19,5.55,6.7,0.00834
N2,0.00064,0.00051,0.00117,0.00562,7.27e-05,0.00057,0.00045,0.00126,0.00557,6.89e-05,0.00028,0.00027,0.00049,0.00166,6.29e-05,0.00801,0.00792,0.00276,0.0799,0.0636,0.146,0.701,0.00907,0.072,0.0568,0.159,0.703,0.0087,0.101,0.0977,0.177,0.601,0.0228,0.253,0.218,0.482,2.01,0.0405,8.78,9.77,5.93,8.16,4.8,3.39,5.9,6.7,3.91,5.5,0.00623
N2,0.00062,0.00048,0.00126,0.00707,7.73e-05,0.00053,0.00043,0.00122,0.00575,7.25e-05,0.00027,0.00028,0.0005,0.00274,6.9e-05,0.00951,0.008,0.00386,0.0652,0.0505,0.133,0.744,0.00813,0.0662,0.0537,0.152,0.719,0.00906,0.07,0.0726,0.13,0.71,0.0179,0.201,0.177,0.415,2.17,0.0351,11.4,10.8,10.1,10.8,5.61,5.48,7.57,7.26,5.89,6.91,0.00712
N2,0.00083,0.00054,0.00189,0.00759,7.89e-05,0.00075,0.00048,0.00213,0.00826,7.46e-05,0.00032,0.00031,0.00063,0.00323,7.27e-05,0.0109,0.0117,0.00456,0.0759,0.0494,0.173,0.694,0.00722,0.0641,0.041,0.182,0.706,0.00638,0.0701,0.0679,0.138,0.708,0.0159,0.21,0.158,0.493,2.11,0.0295,9.14,11.0,10.1,10.1,4.02,5.13,6.92,8.45,6.13,7.16,0.00906
N2,0.00066,0.0005,0.00132,0.00594,7.65e-05,0.00061,0.00046,0.00148,0.00662,7.23e-05,0.00024,0.00027,0.00047,0.00316,6.87e-05,0.0085,0.00924,0.00421,0.0777,0.0588,0.155,0.699,0.009,0.066,0.0498,0.16,0.716,0.00782,0.057,0.0642,0.112,0.751,0.0163,0.201,0.173,0.427,2.17,0.0331,9.0,10.9,13.2,11.0,4.5,6.72,6.26,7.57,7.12,6.98,0.00732
N1,0.001,0.00094,0.0022,0.0758,0.00028,0.0008,0.00073,0.00169,0.0756,0.00018,0.00047,0.00047,0.00108,0.111,0.00013,0.0802,0.079,0.113,0.0125,0.0117,0.0274,0.945,0.00349,0.0101,0.00925,0.0214,0.957,0.00228,0.00416,0.00416,0.00955,0.981,0.00115,0.0268,0.0251,0.0584,2.88,0.00692,75.8,94.5,236.0,135.0,34.5,103.0,40.2,50.5,119.0,69.9,0.0908
N2,0.00092,0.00065,0.0019,0.0118,0.0001,0.00075,0.0006,0.00159,0.00807,9.92e-05,0.0004,0.00036,0.00084,0.00518,8.5e-05,0.0154,0.0111,0.00687,0.0599,0.0423,0.124,0.768,0.00651,0.0675,0.054,0.143,0.726,0.00893,0.0583,0.0524,0.122,0.755,0.0124,0.186,0.149,0.389,2.25,0.0278,12.8,10.8,13.0,12.2,6.21,6.17,8.72,7.16,7.92,7.93,0.0111
N2,0.00071,0.00053,0.00168,0.0124,8.83e-05,0.00061,0.00048,0.0015,0.0101,8.34e-05,0.00033,0.00031,0.00065,0.00565,7.66e-05,0.0154,0.0128,0.00702,0.0461,0.0344,0.109,0.805,0.00573,0.0478,0.0376,0.118,0.79,0.00654,0.047,0.0442,0.0926,0.805,0.0109,0.141,0.116,0.319,2.4,0.0232,17.5,16.5,17.1,17.0,7.38,8.69,11.3,10.6,9.84,10.6,0.0117
N1,0.00148,0.00132,0.00275,0.069,0.00024,0.00109,0.00104,0.00194,0.0602,0.00018,0.00063,0.00069,0.00122,0.0695,0.00016,0.0748,0.0645,0.0722,0.0198,0.0176,0.0368,0.923,0.00321,0.0169,0.0161,0.0301,0.934,0.00279,0.00872,0.00956,0.0169,0.963,0.00222,0.0454,0.0433,0.0838,2.82,0.00822,46.6,55.3,110.0,70.7,25.1,57.0,25.6,29.2,53.6,36.1,0.0705
N1,0.00129,0.00146,0.00369,0.187,0.0004,0.00105,0.00118,0.00344,0.196,0.00031,0.00085,0.00102,0.00329,0.193,0.00032,0.194,0.202,0.199,0.00666,0.00753,0.019,0.965,0.00206,0.00521,0.00585,0.0171,0.97,0.00154,0.00428,0.00513,0.0165,0.972,0.00161,0.0161,0.0185,0.0526,2.91,0.00521,145.0,186.0,227.0,186.0,50.7,58.8,69.3,89.3,105.0,87.9,0.198
N1,0.00092,0.00071,0.00154,0.0397,9.23e-05,0.00071,0.00059,0.00122,0.0368,8.79e-05,0.00039,0.00037,0.00062,0.0348,7.74e-05,0.043,0.0394,0.0362,0.0214,0.0165,0.0358,0.924,0.00215,0.018,0.015,0.031,0.934,0.00223,0.0108,0.0102,0.0171,0.96,0.00214,0.0502,0.0417,0.0839,2.82,0.00652,43.2,51.8,89.2,61.4,25.8,56.1,25.3,29.2,46.6,33.7,0.0395
N2,0.00063,0.00047,0.0012,0.00479,5.27e-05,0.00064,0.00044,0.00153,0.00423,4.89e-05,0.0003,0.00024,0.00056,0.00156,4.12e-05,0.00714,0.00689,0.0027,0.0882,0.0658,0.168,0.671,0.00738,0.0929,0.0639,0.222,0.614,0.0071,0.111,0.0888,0.207,0.578,0.0153,0.292,0.219,0.597,1.86,0.0297,7.6,6.61,5.2,6.47,3.99,2.79,5.45,5.33,3.93,4.9,0.00558
N2,0.00095,0.00058,0.00224,0.0195,5.62e-05,0.00079,0.0005,0.00208,0.017,4.97e-05,0.00029,0.00023,0.0006,0.00474,4.18e-05,0.0234,0.0204,0.0059,0.0407,0.0248,0.0959,0.836,0.00241,0.0388,0.0245,0.102,0.832,0.00244,0.0491,0.039,0.102,0.803,0.00708,0.129,0.0883,0.3,2.47,0.0119,20.6,21.5,16.3,19.5,8.72,7.9,14.2,14.8,10.3,13.1,0.0165
N2,0.00064,0.00042,0.00133,0.00524,4.25e-05,0.00054,0.00036,0.00125,0.00509,3.91e-05,0.00021,0.00018,0.00039,0.00122,3.4e-05,0.00767,0.00728,0.00203,0.0834,0.0547,0.173,0.683,0.00554,0.0742,0.0495,0.172,0.699,0.00537,0.103,0.0885,0.192,0.6,0.0167,0.261,0.193,0.537,1.98,0.0276,8.19,9.43,5.81,7.81,3.94,3.13,6.2,7.04,4.13,5.79,0.00566
N2,0.00079,0.00043,0.00191,0.00969,4.1e-05,0.00073,0.00039,0.00209,0.0126,3.79e-05,0.00029,0.0002,0.0007,0.00349,3.33e-05,0.0129,0.0158,0.00471,0.0614,0.0334,0.149,0.753,0.00319,0.0462,0.0247,0.132,0.795,0.0024,0.0615,0.0424,0.149,0.74,0.00707,0.169,0.101,0.429,2.29,0.0126,12.3,17.2,12.0,13.8,5.07,4.99,9.51,13.1,8.55,10.4,0.0111
N2,0.00102,0.00062,0.00239,0.022,5.16e-05,0.00085,0.00055,0.00216,0.0163,4.89e-05,0.00032,0.00024,0.00073,0.00686,3.88e-05,0.026,0.0199,0.00819,0.0392,0.0238,0.0918,0.843,0.00198,0.0427,0.0276,0.109,0.819,0.00246,0.0391,0.0293,0.0891,0.838,0.00474,0.121,0.0808,0.29,2.5,0.00918,21.5,19.2,21.4,20.7,9.18,9.4,14.8,13.2,13.6,13.9,0.018
N2,0.00068,0.00046,0.00127,0.0059,4.69e-05,0.00053,0.00038,0.00115,0.00561,4.19e-05,0.00022,0.00018,0.00043,0.00158,3.52e-05,0.00836,0.00771,0.00245,0.0814,0.055,0.152,0.706,0.00561,0.0687,0.0493,0.149,0.727,0.00543,0.09,0.0736,0.176,0.646,0.0144,0.24,0.178,0.477,2.08,0.0254,8.68,10.6,7.18,8.81,4.65,3.67,6.29,7.43,5.03,6.25,0.00617
N2,0.00115,0.00066,0.00267,0.0178,5.28e-05,0.00097,0.00057,0.0025,0.0141,5.1e-05,0.00038,0.00024,0.00086,0.00533,3.83e-05,0.0223,0.0182,0.00685,0.0516,0.0296,0.12,0.797,0.00237,0.0534,0.0314,0.138,0.775,0.00281,0.0555,0.035,0.126,0.778,0.00559,0.16,0.096,0.383,2.35,0.0108,15.4,14.5,14.0,14.7,6.65,6.2,11.3,10.8,9.98,10.7,0.0158
N1,0.00089,0.00068,0.00122,0.00444,5.9e-05,0.00068,0.00059,0.00089,0.00237,5.77e-05,0.0004,0.00036,0.00043,0.00192,4.46e-05,0.00729,0.00459,0.00315,0.122,0.0933,0.167,0.609,0.00809,0.148,0.129,0.194,0.517,0.0126,0.127,0.114,0.136,0.609,0.0141,0.397,0.336,0.498,1.73,0.0348,4.99,3.49,4.8,4.42,3.64,4.47,3.61,2.57,3.09,3.09,0.00501
N2,0.00068,0.00044,0.00124,0.00523,4.16e-05,0.00052,0.00037,0.00106,0.00446,3.79e-05,0.00026,0.00019,0.00048,0.00147,3.23e-05,0.00763,0.00645,0.00243,0.0891,0.0577,0.162,0.685,0.00545,0.0806,0.0574,0.164,0.692,0.00588,0.107,0.0781,0.197,0.604,0.0133,0.277,0.193,0.524,1.98,0.0246,7.69,8.58,5.65,7.31,4.22,3.06,5.78,6.2,4.33,5.44,0.0055
N2,0.00072,0.00044,0.00186,0.00839,4.09e-05,0.00068,0.0004,0.00209,0.00993,3.79e-05,0.00029,0.00019,0.00065,0.00377,3.14e-05,0.0115,0.0131,0.00493,0.0629,0.0384,0.162,0.733,0.00357,0.0518,0.0304,0.159,0.756,0.00288,0.0588,0.0385,0.132,0.764,0.00637,0.173,0.107,0.453,2.25,0.0128,11.7,14.6,13.0,13.1,4.51,5.8,8.84,11.1,9.21,9.72,0.00984
